port,vlan
1,"414, 714"
2,"414, 418, 714"
3,"414, 714"
4,"414, 714"
5,"414, 714"
6,"414, 714"
7,"414, 714"
8,"414, 418, 714"
9,"414, 714"
10,"414, 418, 714"
11,"414, 714"
12,"414, 714"
13,"414, 714"
14,"414, 714"
15,"414, 714"
16,"414, 714"
17,"414, 714"
18,"414, 714"
19,"414, 714"
20,"414, 714"
21,"414, 714"
22,"414, 714"
23,"414, 714"
24,"414, 418, 714"
25,"414, 714"
26,"418, 714"
27,"414, 714"
28,"414, 714"
29,"414, 714"
30,"414, 714"
31,"414, 714"
32,"414, 418, 714"
33,"414, 714"
34,"414, 418, 714"
35,"414, 714"
36,"414, 418, 714"
37,"414, 418, 714"
38,"414, 418, 714"
39,"414, 714"
40,"418, 714"
41,"414, 714"
42,"414, 418, 714"
43,"414, 714"
44,"414, 714"
45,"414, 714"
46,"418, 714"
47,"414, 714"
48,"418, 714"
49,"414, 714"
